dot_bracket_repr,obj_fn_final_value,dot_bracket_repr_mfe,seq_len,n_irs_found,solver_num_booleans,solver_solve_time,solver_iterations,solver_num_branches_explored,solver_num_conflicts
.......,0,0.0,7,,,,,
.......,0,0.0,7,,,,,
.......,0,0.0,7,,,,,
.......,0,0.0,7,,,,,
.......,0,0.0,7,,,,,
.......,0,0.0,7,,,,,
.......,0,0.0,7,,,,,
.......,0,0.0,7,,,,,
.......,0,0.0,7,,,,,
.......,0,0.0,7,,,,,
........,0,0.0,8,,,,,
........,0,0.0,8,,,,,
........,0,0.0,8,,,,,
........,0,0.0,8,,,,,
........,0.0,0.0,8,2,0,0.001918905,0,0
........,0,0.0,8,,,,,
........,0,0.0,8,,,,,
........,0,0.0,8,,,,,
........,0,0.0,8,,,,,
........,0,0.0,8,,,,,
.........,0.0,0.0,9,2,0,0.0008001350000000001,0,0
.........,0,0.0,9,,,,,
.........,0,0.0,9,,,,,
.........,0,0.0,9,,,,,
.........,0,0.0,9,,,,,
.........,0,0.0,9,,,,,
.........,0.0,0.0,9,2,0,0.001899122,0,0
.........,0,0.0,9,,,,,
.........,0,0.0,9,,,,,
.........,0,0.0,9,,,,,
..........,0,0.0,10,,,,,
..........,0,0.0,10,,,,,
..........,0.0,0.0,10,3,0,0.002105496,0,0
..........,0,0.0,10,,,,,
..........,0,0.0,10,,,,,
..........,0,0.0,10,,,,,
..........,0,0.0,10,,,,,
..........,0.0,0.0,10,2,0,0.0019090550000000002,0,0
..........,0.0,0.0,10,2,0,0.001859366,0,0
..........,0.0,0.0,10,2,0,0.001962133,0,0
...........,0.0,0.0,11,3,0,0.001753509,0,0
...........,0,0.0,11,,,,,
...........,0,0.0,11,,,,,
...........,0.0,0.0,11,2,0,0.001853271,0,0
...........,0.0,0.0,11,3,0,0.0019975460000000002,0,0
...........,0.0,0.0,11,2,0,0.000822082,0,0
...........,0.0,0.0,11,2,0,0.0020551510000000003,0,0
...........,0.0,0.0,11,3,0,0.001721138,0,0
...........,0,0.0,11,,,,,
...........,0,0.0,11,,,,,
............,0.0,0.0,12,3,0,0.000720646,0,0
............,0.0,0.0,12,4,0,0.002081742,0,0
............,0.0,0.0,12,2,0,0.000776953,0,0
............,0,0.0,12,,,,,
............,0.0,0.0,12,2,0,0.001698487,0,0
............,0.0,0.0,12,4,0,0.0019071020000000001,0,0
............,0.0,0.0,12,2,0,0.0020173170000000002,0,0
............,0.0,0.0,12,2,0,0.000831289,0,0
............,0.0,0.0,12,2,0,0.0008570400000000001,0,0
............,0.0,0.0,12,4,0,0.0018191320000000002,0,0
.............,0.0,0.0,13,4,0,0.0007241200000000001,0,0
.............,0.0,0.0,13,3,0,0.000721933,0,0
.............,0,0.0,13,,,,,
.............,0.0,0.0,13,2,0,0.0008343760000000001,0,0
.............,0.0,0.0,13,2,0,0.0018471610000000002,0,0
.............,0.0,0.0,13,3,0,0.0018745550000000002,0,0
.............,0.0,0.0,13,3,0,0.002016014,0,0
..((......)).,-1.0,-0.800000011920929,13,3,0,0.002050113,0,0
.............,0.0,0.0,13,2,0,0.0018976260000000001,0,0
.............,0,0.0,13,,,,,
..............,0.0,0.0,14,3,0,0.0007646350000000001,0,0
..............,0.0,0.0,14,3,0,0.001839892,0,0
..............,0,0.0,14,,,,,
..............,0.0,0.0,14,2,0,0.001997783,0,0
