dot_bracket_repr,obj_fn_final_value,dot_bracket_repr_mfe,seq_len,n_irs_found,solver_num_booleans,solver_solve_time,solver_iterations,solver_num_branches_explored,solver_num_conflicts
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,3,0,0.002059383,0,0,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
.........,0,0,9,,,,,,
.........,0,0,9,,,,,,
.........,0,0,9,2,0,0.000793801,0,0,
.........,0,0,9,,,,,,
.........,0,0,9,,,,,,
.........,0,0,9,,,,,,
.........,0,0,9,2,0,0.001948123,0,0,
.........,0,0,9,2,0,0.000835407,0,0,
.........,0,0,9,,,,,,
.........,0,0,9,,,,,,
..........,0,0,10,,,,,,
..........,0,0,10,,,,,,
..........,0,0,10,,,,,,
..........,0,0,10,,,,,,
..........,0,0,10,,,,,,
..........,0,0,10,3,0,0.001947511,0,0,
..........,0,0,10,,,,,,
..........,0,0,10,4,0,0.001963868,0,0,
..........,0,0,10,2,0,0.001719935,0,0,
..........,0,0,10,,,,,,
...........,0,0,11,3,0,0.001891698,0,0,
...........,0,0,11,,,,,,
...........,0,0,11,,,,,,
...........,0,0,11,4,0,0.000789165,0,0,
...........,0,0,11,3,0,0.00189852,0,0,
...........,0,0,11,3,0,0.001815788,0,0,
...........,0,0,11,5,0,0.000729994,0,0,
...........,0,0,11,,,,,,
...........,0,0,11,6,0,0.001813486,0,0,
...........,0,0,11,4,0,0.000782766,0,0,
............,0,0,12,2,0,0.000751094,0,0,
...(((...))),-1,-1.39999997615814,12,5,0,0.001915708,0,0,
............,0,0,12,4,0,0.001824048,0,0,
............,0,0,12,2,0,0.001754507,0,0,
............,0,0,12,4,0,0.000792506,0,0,
............,0,0,12,2,0,0.001947198,0,0,
............,0,0,12,2,0,0.000776529,0,0,
............,0,0,12,,,,,,
............,0,0,12,,,,,,
............,0,0,12,3,0,0.001905134,0,0,
.............,0,0,13,,,,,,
.............,0,0,13,4,0,0.001981688,0,0,
.............,0,0,13,4,0,0.000794258,0,0,
.............,0,0,13,4,0,0.001899447,0,0,
.............,0,0,13,,,,,,
.............,0,0,13,4,0,0.000961858,0,0,
.............,0,0,13,2,0,0.001784876,0,0,
.............,0,0,13,,,,,,
.............,0,0,13,3,0,0.000881645,0,0,
.............,0,0,13,,,,,,
..............,0,0,14,,,,,,
..............,0,0,14,5,0,0.001354937,0,0,
..............,0,0,14,4,0,0.000819461,0,0,
..............,0,0,14,2,0,0.000829596,0,0,
..............,0,0,14,5,0,0.002216191,0,0,
..............,0,0,14,3,0,0.002094959,0,0,
..............,0,0,14,2,0,0.001852109,0,0,
..............,0,0,14,5,0,0.000897295,0,0,
..............,0,0,14,,,,,,
..............,0,0,14,3,0,0.000782659,0,0,
...............,0,0,15,6,0,0.001866888,0,0,
...............,0,0,15,5,0,0.002022616,0,0,
...............,0,0,15,3,0,0.001800452,0,0,
...............,0,0,15,3,0,0.001776512,0,0,
.(((......)))..,-3,-2.90000009536743,15,6,0,0.00183249,0,0,
...((......))..,-1,-1.10000002384186,15,6,0,0.00078154,0,0,
...............,0,0,15,5,0,0.000809905,0,0,
