dot_bracket_repr,obj_fn_final_value,dot_bracket_repr_mfe,seq_len,n_irs_found,solver_num_booleans,solver_solve_time,solver_iterations,solver_num_branches_explored,solver_num_conflicts
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,,,,,,
.......,0,0,7,3,0,0.00080184,0,0,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
........,0,0,8,,,,,,
.........,0,0,9,,,,,,
.........,0,0,9,,,,,,
.........,0,0,9,2,0,0.001830676,0,0,
.........,0,0,9,,,,,,
.........,0,0,9,,,,,,
.........,0,0,9,,,,,,
.........,0,0,9,2,0,0.001903547,0,0,
.........,0,0,9,2,0,0.000926845,0,0,
.........,0,0,9,,,,,,
.........,0,0,9,,,,,,
..........,0,0,10,,,,,,
..........,0,0,10,,,,,,
..........,0,0,10,,,,,,
..........,0,0,10,,,,,,
..........,0,0,10,,,,,,
..........,0,0,10,3,0,0.000943804,0,0,
..........,0,0,10,,,,,,
..........,0,0,10,4,0,0.000859135,0,0,
..........,0,0,10,2,0,0.001716028,0,0,
..........,0,0,10,,,,,,
...........,0,0,11,3,0,0.00177748,0,0,
...........,0,0,11,,,,,,
...........,0,0,11,,,,,,
...........,0,0,11,4,0,0.00085713,0,0,
...........,0,0,11,3,0,0.000761996,0,0,
...........,0,0,11,3,0,0.001797528,0,0,
...........,0,0,11,5,0,0.000724684,0,0,
...........,0,0,11,,,,,,
...........,0,0,11,6,0,0.001876378,0,0,
...........,0,0,11,4,0,0.000809111,0,0,
............,0,0,12,2,0,0.001907806,0,0,
...(((...))),-1,-1.39999997615814,12,5,0,0.0008027,0,0,
............,0,0,12,4,0,0.000645176,0,0,
............,0,0,12,2,0,0.001946903,0,0,
............,0,0,12,4,0,0.001999454,0,0,
............,0,0,12,2,0,0.001886163,0,0,
............,0,0,12,2,0,0.000784505,0,0,
............,0,0,12,,,,,,
............,0,0,12,,,,,,
............,0,0,12,3,0,0.001955465,0,0,
.............,0,0,13,,,,,,
.............,0,0,13,4,0,0.001914326,0,0,
.............,0,0,13,4,0,0.002086607,0,0,
.............,0,0,13,4,0,0.001914873,0,0,
.............,0,0,13,,,,,,
.............,0,0,13,4,0,0.002182538,0,0,
.............,0,0,13,2,0,0.000851427,0,0,
.............,0,0,13,,,,,,
.............,0,0,13,3,0,0.000706048,0,0,
.............,0,0,13,,,,,,
..............,0,0,14,,,,,,
..............,0,0,14,5,0,0.002501726,0,0,
..............,0,0,14,4,0,0.002011005,0,0,
..............,0,0,14,2,0,0.002273995,0,0,
..............,0,0,14,5,0,0.00107087,0,0,
..............,0,0,14,3,0,0.002067824,0,0,
..............,0,0,14,2,0,0.000713798,0,0,
..............,0,0,14,5,0,0.001941882,0,0,
..............,0,0,14,,,,,,
..............,0,0,14,3,0,0.000742022,0,0,
...............,0,0,15,6,0,0.002012011,0,0,
...............,0,0,15,5,0,0.000799445,0,0,
...............,0,0,15,3,0,0.001711233,0,0,
...............,0,0,15,3,0,0.001743194,0,0,
.(((......)))..,-3,-2.90000009536743,15,6,0,0.001167041,0,0,
...((......))..,-1,-1.10000002384186,15,6,0,0.001955672,0,0,
...............,0,0,15,5,0,0.001910482,0,0,
